Time,pods
2024-01-27 18:23:00,1.0
2024-01-27 18:24:00,1.0
2024-01-27 18:25:00,1.0
2024-01-27 18:26:00,2.0
2024-01-27 18:27:00,2.0
2024-01-27 18:28:00,2.0
2024-01-27 18:29:00,2.0
2024-01-27 18:30:00,2.0
2024-01-27 18:31:00,3.0
2024-01-27 18:32:00,3.0
2024-01-27 18:33:00,3.0
2024-01-27 18:34:00,3.0
2024-01-27 18:35:00,3.0
2024-01-27 18:36:00,3.0
2024-01-27 18:37:00,3.0
2024-01-27 18:38:00,3.0
2024-01-27 18:39:00,3.0
2024-01-27 18:40:00,3.0
2024-01-27 18:41:00,3.0
2024-01-27 18:42:00,3.0
2024-01-27 18:43:00,3.0
2024-01-27 18:44:00,3.0
2024-01-27 18:45:00,3.0
2024-01-27 18:46:00,3.0
2024-01-27 18:47:00,3.0
2024-01-27 18:48:00,3.0
2024-01-27 18:49:00,3.0
2024-01-27 18:50:00,3.0
2024-01-27 18:51:00,3.0
2024-01-27 18:52:00,3.0
2024-01-27 18:53:00,3.0
2024-01-27 18:54:00,3.0
2024-01-27 18:55:00,3.0
2024-01-27 18:56:00,3.0
2024-01-27 18:57:00,3.0
2024-01-27 18:58:00,3.0
2024-01-27 18:59:00,3.0
2024-01-27 19:00:00,3.0
2024-01-27 19:01:00,3.0
2024-01-27 19:02:00,3.0
2024-01-27 19:03:00,3.0
2024-01-27 19:04:00,3.0
2024-01-27 19:05:00,3.0
2024-01-27 19:06:00,3.0
2024-01-27 19:07:00,3.0
2024-01-27 19:08:00,3.0
2024-01-27 19:09:00,3.0
2024-01-27 19:10:00,3.0
2024-01-27 19:11:00,3.0
2024-01-27 19:12:00,3.0
2024-01-27 19:13:00,3.0
2024-01-27 19:14:00,3.0
2024-01-27 19:15:00,3.0
2024-01-27 19:16:00,3.0
2024-01-27 19:17:00,3.0
2024-01-27 19:18:00,3.0
2024-01-27 19:19:00,3.0
2024-01-27 19:20:00,3.0
2024-01-27 19:21:00,3.0
2024-01-27 19:22:00,3.0
2024-01-27 19:23:00,3.0
2024-01-27 19:24:00,3.0
2024-01-27 19:25:00,3.0
2024-01-27 19:26:00,3.0
2024-01-27 19:27:00,3.0
2024-01-27 19:28:00,3.0
2024-01-27 19:29:00,3.0
2024-01-27 19:30:00,3.0
2024-01-27 19:31:00,3.0
2024-01-27 19:32:00,3.0
2024-01-27 19:33:00,3.0
2024-01-27 19:34:00,3.0
2024-01-27 19:35:00,3.0
2024-01-27 19:36:00,3.0
2024-01-27 19:37:00,3.0
2024-01-27 19:38:00,3.0
2024-01-27 19:39:00,3.0
2024-01-27 19:40:00,3.0
2024-01-27 19:41:00,3.0
2024-01-27 19:42:00,3.0
2024-01-27 19:43:00,3.0
2024-01-27 19:44:00,3.0
2024-01-27 19:45:00,3.0
2024-01-27 19:46:00,3.0
2024-01-27 19:47:00,3.0
2024-01-27 19:48:00,3.0
2024-01-27 19:49:00,3.0
2024-01-27 19:50:00,3.0
2024-01-27 19:51:00,3.0
2024-01-27 19:52:00,3.0
2024-01-27 19:53:00,3.0
2024-01-27 19:54:00,3.0
2024-01-27 19:55:00,3.0
2024-01-27 19:56:00,3.0
2024-01-27 19:57:00,3.0
2024-01-27 19:58:00,3.0
2024-01-27 19:59:00,3.0
2024-01-27 20:00:00,3.0
2024-01-27 20:01:00,3.0
2024-01-27 20:02:00,3.0
2024-01-27 20:03:00,3.0
2024-01-27 20:04:00,3.0
2024-01-27 20:05:00,3.0
2024-01-27 20:06:00,3.0
2024-01-27 20:07:00,3.0
2024-01-27 20:08:00,3.0
2024-01-27 20:09:00,3.0
2024-01-27 20:10:00,3.0
2024-01-27 20:11:00,3.0
2024-01-27 20:12:00,3.0
2024-01-27 20:13:00,3.0
2024-01-27 20:14:00,3.0
2024-01-27 20:15:00,3.0
2024-01-27 20:16:00,3.0
2024-01-27 20:17:00,3.0
2024-01-27 20:18:00,3.0
2024-01-27 20:19:00,3.0
2024-01-27 20:20:00,3.0
2024-01-27 20:21:00,3.0
2024-01-27 20:22:00,3.0
2024-01-27 20:23:00,3.0
2024-01-27 20:24:00,3.0
2024-01-27 20:25:00,3.0
2024-01-27 20:26:00,3.0
2024-01-27 20:27:00,3.0
2024-01-27 20:28:00,3.0
2024-01-27 20:29:00,3.0
2024-01-27 20:30:00,3.0
2024-01-27 20:31:00,3.0
2024-01-27 20:32:00,3.0
2024-01-27 20:33:00,3.0
2024-01-27 20:34:00,3.0
2024-01-27 20:35:00,3.0
2024-01-27 20:36:00,3.0
2024-01-27 20:37:00,3.0
2024-01-27 20:38:00,3.0
2024-01-27 20:39:00,3.0
2024-01-27 20:40:00,3.0
2024-01-27 20:41:00,3.0
2024-01-27 20:42:00,3.0
2024-01-27 20:43:00,3.0
2024-01-27 20:44:00,3.0
2024-01-27 20:45:00,3.0
2024-01-27 20:46:00,3.0
2024-01-27 20:47:00,3.0
2024-01-27 20:48:00,3.0
2024-01-27 20:49:00,3.0
2024-01-27 20:50:00,3.0
2024-01-27 20:51:00,3.0
2024-01-27 20:52:00,3.0
2024-01-27 20:53:00,3.0
2024-01-27 20:54:00,3.0
2024-01-27 20:55:00,3.0
2024-01-27 20:56:00,3.0
2024-01-27 20:57:00,3.0
2024-01-27 20:58:00,3.0
2024-01-27 20:59:00,3.0
2024-01-27 21:00:00,3.0
2024-01-27 21:01:00,3.0
2024-01-27 21:02:00,3.0
2024-01-27 21:03:00,3.0
2024-01-27 21:04:00,3.0
2024-01-27 21:05:00,3.0
2024-01-27 21:06:00,3.0
2024-01-27 21:07:00,3.0
2024-01-27 21:08:00,3.0
2024-01-27 21:09:00,3.0
2024-01-27 21:10:00,3.0
2024-01-27 21:11:00,3.0
2024-01-27 21:12:00,3.0
2024-01-27 21:13:00,3.0
2024-01-27 21:14:00,3.0
2024-01-27 21:15:00,3.0
2024-01-27 21:16:00,3.0
2024-01-27 21:17:00,3.0
2024-01-27 21:18:00,3.0
2024-01-27 21:19:00,3.0
2024-01-27 21:20:00,3.0
2024-01-27 21:21:00,3.0
2024-01-27 21:22:00,3.0
2024-01-27 21:23:00,3.0
