Time,pods
2024-01-15 22:18:00,1.0
2024-01-15 22:19:00,1.0
2024-01-15 22:20:00,1.0
2024-01-15 22:21:00,1.0
2024-01-15 22:22:00,1.0
2024-01-15 22:23:00,1.0
2024-01-15 22:24:00,1.0
2024-01-15 22:25:00,1.0
2024-01-15 22:26:00,1.0
2024-01-15 22:27:00,1.0
2024-01-15 22:28:00,1.0
2024-01-15 22:29:00,2.0
2024-01-15 22:30:00,2.0
2024-01-15 22:31:00,2.0
2024-01-15 22:32:00,2.0
2024-01-15 22:33:00,2.0
2024-01-15 22:34:00,2.0
2024-01-15 22:35:00,2.0
2024-01-15 22:36:00,1.0
2024-01-15 22:37:00,1.0
2024-01-15 22:38:00,1.0
2024-01-15 22:39:00,1.0
2024-01-15 22:40:00,1.0
2024-01-15 22:41:00,1.0
2024-01-15 22:42:00,1.0
2024-01-15 22:43:00,1.0
2024-01-15 22:44:00,1.0
2024-01-15 22:45:00,1.0
2024-01-15 22:46:00,1.0
2024-01-15 22:47:00,1.0
2024-01-15 22:48:00,1.0
2024-01-15 22:49:00,1.0
2024-01-15 22:50:00,1.0
2024-01-15 22:51:00,1.0
2024-01-15 22:52:00,1.0
2024-01-15 22:53:00,1.0
2024-01-15 22:54:00,1.0
2024-01-15 22:55:00,1.0
2024-01-15 22:56:00,1.0
2024-01-15 22:57:00,1.0
2024-01-15 22:58:00,1.0
2024-01-15 22:59:00,1.0
2024-01-15 23:00:00,1.0
2024-01-15 23:01:00,1.0
2024-01-15 23:02:00,1.0
2024-01-15 23:03:00,1.0
2024-01-15 23:04:00,1.0
2024-01-15 23:05:00,1.0
2024-01-15 23:06:00,1.0
2024-01-15 23:07:00,1.0
2024-01-15 23:08:00,2.0
2024-01-15 23:09:00,2.0
2024-01-15 23:10:00,2.0
2024-01-15 23:11:00,2.0
2024-01-15 23:12:00,2.0
2024-01-15 23:13:00,2.0
2024-01-15 23:14:00,2.0
2024-01-15 23:15:00,2.0
2024-01-15 23:16:00,2.0
2024-01-15 23:17:00,3.0
2024-01-15 23:18:00,3.0
2024-01-15 23:19:00,3.0
2024-01-15 23:20:00,3.0
2024-01-15 23:21:00,3.0
2024-01-15 23:22:00,3.0
2024-01-15 23:23:00,3.0
2024-01-15 23:24:00,3.0
2024-01-15 23:25:00,3.0
2024-01-15 23:26:00,3.0
2024-01-15 23:27:00,3.0
2024-01-15 23:28:00,3.0
2024-01-15 23:29:00,3.0
2024-01-15 23:30:00,3.0
2024-01-15 23:31:00,3.0
2024-01-15 23:32:00,3.0
2024-01-15 23:33:00,3.0
2024-01-15 23:34:00,3.0
2024-01-15 23:35:00,3.0
2024-01-15 23:36:00,3.0
2024-01-15 23:37:00,3.0
2024-01-15 23:38:00,3.0
2024-01-15 23:39:00,3.0
2024-01-15 23:40:00,3.0
2024-01-15 23:41:00,3.0
2024-01-15 23:42:00,3.0
2024-01-15 23:43:00,3.0
2024-01-15 23:44:00,3.0
2024-01-15 23:45:00,3.0
2024-01-15 23:46:00,3.0
2024-01-15 23:47:00,3.0
2024-01-15 23:48:00,3.0
2024-01-15 23:49:00,3.0
2024-01-15 23:50:00,3.0
2024-01-15 23:51:00,3.0
2024-01-15 23:52:00,3.0
2024-01-15 23:53:00,3.0
2024-01-15 23:54:00,3.0
2024-01-15 23:55:00,3.0
